strike,LocalTime,last,high,low,change,avgPrice,OI,ttq,totalBuyQt,totalSellQ,ttv,ltt,bPrice,bQty,sPrice,sQty,ltq
24800,6/20/2025 9:38,190.95,226.9,178,-0.91,202.83,7102650,18099450,809175,788625,"367.11C","Fri Jun 20 09:38:58 2025",190.95,1575,191.05,75,75
24800,6/20/2025 9:38,190.95,226.9,178,-1.14,202.83,7102650,18105675,806850,793050,"367.24C","Fri Jun 20 09:38:58 2025",190.55,750,190.95,675,75
24800,6/20/2025 9:38,190.75,226.9,178,-1.14,202.83,7102650,18105675,806850,793050,"367.24C","Fri Jun 20 09:38:59 2025",190.55,750,190.95,675,75
24800,6/20/2025 9:38,189.8,226.9,178,-1.73,202.83,7102650,18113400,801675,798300,"367.39C","Fri Jun 20 09:39:00 2025",189.45,150,189.75,375,75
24800,6/20/2025 9:38,189.45,226.9,178,-1.73,202.83,7102650,18113400,801675,798300,"367.39C","Fri Jun 20 09:39:00 2025",189.45,150,189.75,375,75
24800,6/20/2025 9:38,190.85,226.9,178,-1.73,202.83,7102650,18113400,801675,798300,"367.39C","Fri Jun 20 09:39:01 2025",189.45,150,189.75,375,225
24800,6/20/2025 9:38,190.8,226.9,178,-1.22,202.82,7102650,18118050,806625,793050,"367.47C","Fri Jun 20 09:39:01 2025",190.7,675,191.1,375,75
24800,6/20/2025 9:39,190.6,226.9,178,-1.22,202.82,7102650,18118050,806625,793050,"367.47C","Fri Jun 20 09:39:02 2025",190.7,675,191.1,375,75
24800,6/20/2025 9:39,191.4,226.9,178,-1.22,202.82,7102650,18118050,806625,793050,"367.47C","Fri Jun 20 09:39:03 2025",190.7,675,191.1,375,75
24800,6/20/2025 9:39,191.05,226.9,178,-1.09,202.82,7102650,18124200,807450,794625,"367.6C","Fri Jun 20 09:39:03 2025",191,150,191.35,600,75
24800,6/20/2025 9:39,190.6,226.9,178,-1.09,202.82,7102650,18124200,807450,794625,"367.6C","Fri Jun 20 09:39:04 2025",191,150,191.35,600,75
24800,6/20/2025 9:39,190.3,226.9,178,-1.48,202.81,7102650,18130350,808425,796275,"367.7C","Fri Jun 20 09:39:05 2025",190,300,190.35,300,75
24800,6/20/2025 9:39,190.35,226.9,178,-1.48,202.81,7102650,18130350,808425,796275,"367.7C","Fri Jun 20 09:39:05 2025",190,300,190.35,300,75
24800,6/20/2025 9:39,191.35,226.9,178,-1.48,202.81,7102650,18130350,808425,796275,"367.7C","Fri Jun 20 09:39:06 2025",190,300,190.35,300,75
24800,6/20/2025 9:39,190.9,226.9,178,-1.16,202.81,7102650,18134625,811725,794850,"367.79C","Fri Jun 20 09:39:06 2025",190.6,450,191,300,75
24800,6/20/2025 9:39,190.95,226.9,178,-1.16,202.81,7102650,18134625,811725,794850,"367.79C","Fri Jun 20 09:39:07 2025",190.6,450,191,300,75
24800,6/20/2025 9:39,190.7,226.9,178,-1.16,202.81,7102650,18134625,811725,794850,"367.79C","Fri Jun 20 09:39:08 2025",190.6,450,191,300,75
24800,6/20/2025 9:39,190.55,226.9,178,-1.35,202.81,7102650,18141000,814650,798000,"367.92C","Fri Jun 20 09:39:08 2025",190.5,225,190.9,975,150
24800,6/20/2025 9:39,190,226.9,178,-1.35,202.81,7102650,18141000,814650,798000,"367.92C","Fri Jun 20 09:39:09 2025",190.5,225,190.9,975,75
